run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
679.0,562.0,642.0,665.0,718.0,526.0,236.0,734.0,96.0,479.0,235.0,437.0,237.0,328.0,673.0,231.0,663.0,734.0,665.0,487.0,526.0,235.0,103.0,338.0,519.0
243.0,671.0,71.0,719.0,628.0,583.0,518.0,111.0,405.0,619.0,618.0,386.0,724.0,367.0,430.0,671.0,601.0,681.0,87.0,537.0,71.0,284.0,233.0,211.0,635.0
741.0,106.0,590.0,775.0,532.0,197.0,590.0,757.0,634.0,741.0,468.0,353.0,56.0,197.0,139.0,52.0,52.0,56.0,769.0,741.0,397.0,49.0,10.0,113.0,10.0
84.0,656.0,540.0,327.0,536.0,656.0,84.0,327.0,656.0,470.0,84.0,175.0,175.0,470.0,470.0,536.0,175.0,470.0,372.0,318.0,656.0,84.0,355.0,470.0,536.0
503.0,567.0,151.0,413.0,554.0,61.0,464.0,633.0,29.0,413.0,186.0,399.0,12.0,743.0,547.0,1.0,525.0,417.0,464.0,249.0,143.0,230.0,637.0,204.0,119.0
505.0,694.0,221.0,4.0,262.0,780.0,142.0,768.0,701.0,767.0,578.0,94.0,26.0,774.0,500.0,785.0,647.0,133.0,333.0,121.0,394.0,492.0,701.0,467.0,752.0
215.0,426.0,553.0,693.0,215.0,466.0,11.0,122.0,597.0,11.0,174.0,320.0,46.0,320.0,260.0,122.0,50.0,50.0,174.0,648.0,713.0,476.0,50.0,122.0,11.0
571.0,457.0,504.0,148.0,420.0,196.0,504.0,622.0,676.0,161.0,497.0,208.0,520.0,420.0,192.0,504.0,275.0,257.0,169.0,501.0,491.0,501.0,629.0,614.0,660.0
330.0,223.0,599.0,178.0,582.0,223.0,218.0,220.0,684.0,732.0,38.0,109.0,684.0,549.0,178.0,330.0,510.0,315.0,543.0,480.0,543.0,140.0,276.0,383.0,222.0
611.0,14.0,70.0,758.0,765.0,70.0,423.0,344.0,765.0,702.0,746.0,317.0,332.0,423.0,302.0,529.0,302.0,761.0,303.0,23.0,555.0,773.0,256.0,65.0,44.0
62.0,0.0,659.0,0.0,62.0,236.0,416.0,0.0,0.0,0.0,738.0,0.0,718.0,0.0,0.0,0.0,532.0,654.0,0.0,0.0,739.0,738.0,0.0,0.0,0.0
221.0,1.0,62.0,1.0,736.0,416.0,237.0,1.0,1.0,1.0,237.0,1.0,416.0,1.0,1.0,2.0,425.0,737.0,1.0,1.0,237.0,260.0,1.0,1.0,1.0
75.0,2.0,672.0,2.0,742.0,237.0,718.0,2.0,2.0,2.0,718.0,2.0,236.0,2.0,2.0,3.0,100.0,760.0,2.0,2.0,416.0,718.0,2.0,2.0,2.0
764.0,3.0,505.0,3.0,32.0,718.0,260.0,3.0,3.0,3.0,416.0,3.0,260.0,3.0,3.0,4.0,310.0,747.0,3.0,3.0,236.0,237.0,3.0,3.0,3.0
772.0,4.0,522.0,5.0,772.0,260.0,235.0,4.0,4.0,4.0,739.0,4.0,235.0,4.0,4.0,5.0,188.0,789.0,4.0,4.0,718.0,416.0,4.0,4.0,4.0
109.0,5.0,764.0,6.0,387.0,742.0,738.0,5.0,5.0,5.0,260.0,5.0,738.0,5.0,5.0,6.0,377.0,533.0,5.0,5.0,260.0,739.0,5.0,5.0,5.0
367.0,6.0,243.0,7.0,237.0,235.0,739.0,6.0,6.0,6.0,236.0,6.0,141.0,6.0,6.0,7.0,364.0,207.0,6.0,6.0,62.0,236.0,6.0,6.0,6.0
172.0,7.0,275.0,8.0,416.0,738.0,742.0,7.0,7.0,7.0,742.0,7.0,739.0,7.0,7.0,8.0,597.0,736.0,7.0,7.0,235.0,742.0,7.0,7.0,7.0
189.0,8.0,583.0,9.0,236.0,329.0,526.0,8.0,8.0,8.0,399.0,8.0,526.0,8.0,8.0,9.0,693.0,467.0,8.0,8.0,738.0,526.0,8.0,8.0,8.0
379.0,9.0,613.0,10.0,235.0,601.0,105.0,9.0,9.0,9.0,713.0,9.0,105.0,9.0,9.0,10.0,46.0,641.0,9.0,9.0,601.0,601.0,9.0,9.0,9.0
483.0,10.0,709.0,11.0,738.0,1.0,184.0,10.0,10.0,10.0,266.0,10.0,742.0,10.0,10.0,11.0,713.0,,10.0,10.0,552.0,552.0,11.0,10.0,12.0
53.0,11.0,416.0,12.0,260.0,739.0,601.0,11.0,11.0,12.0,526.0,11.0,601.0,11.0,11.0,12.0,3.0,,11.0,11.0,399.0,713.0,12.0,11.0,13.0
149.0,12.0,237.0,13.0,739.0,613.0,639.0,12.0,12.0,13.0,763.0,12.0,1.0,12.0,12.0,13.0,446.0,,12.0,12.0,771.0,450.0,13.0,12.0,14.0
237.0,13.0,236.0,14.0,329.0,763.0,552.0,13.0,13.0,14.0,329.0,13.0,641.0,13.0,13.0,14.0,313.0,,13.0,13.0,639.0,329.0,14.0,13.0,15.0
718.0,15.0,718.0,15.0,773.0,184.0,329.0,14.0,14.0,15.0,184.0,14.0,,14.0,14.0,15.0,282.0,,14.0,14.0,532.0,639.0,15.0,14.0,16.0
416.0,16.0,235.0,16.0,425.0,713.0,482.0,15.0,15.0,16.0,1.0,15.0,,15.0,15.0,16.0,113.0,,15.0,15.0,141.0,184.0,16.0,15.0,17.0
236.0,17.0,738.0,17.0,184.0,266.0,713.0,16.0,16.0,17.0,601.0,16.0,,16.0,16.0,17.0,468.0,,16.0,16.0,184.0,641.0,17.0,16.0,18.0
235.0,18.0,260.0,18.0,526.0,652.0,551.0,17.0,17.0,18.0,339.0,17.0,,17.0,17.0,18.0,733.0,,17.0,17.0,377.0,,18.0,17.0,19.0
739.0,19.0,739.0,19.0,552.0,532.0,641.0,18.0,18.0,19.0,773.0,18.0,,18.0,18.0,19.0,408.0,,18.0,18.0,785.0,,19.0,18.0,20.0
141.0,20.0,601.0,20.0,713.0,639.0,,19.0,19.0,20.0,652.0,19.0,,19.0,19.0,20.0,20.0,,19.0,19.0,431.0,,20.0,19.0,21.0
738.0,21.0,184.0,21.0,760.0,377.0,,20.0,20.0,21.0,613.0,20.0,,20.0,20.0,21.0,11.0,,20.0,20.0,763.0,,21.0,20.0,22.0
184.0,22.0,526.0,22.0,654.0,699.0,,21.0,21.0,22.0,756.0,21.0,,21.0,21.0,22.0,553.0,,21.0,21.0,536.0,,22.0,21.0,23.0
260.0,23.0,519.0,23.0,681.0,279.0,,22.0,22.0,23.0,86.0,22.0,,22.0,22.0,23.0,322.0,,22.0,22.0,105.0,,23.0,22.0,24.0
601.0,24.0,701.0,24.0,737.0,194.0,,23.0,23.0,24.0,536.0,23.0,,23.0,23.0,24.0,611.0,,23.0,24.0,489.0,,24.0,23.0,25.0
526.0,25.0,639.0,25.0,747.0,489.0,,24.0,24.0,25.0,544.0,24.0,,24.0,24.0,25.0,22.0,,24.0,25.0,126.0,,25.0,24.0,26.0
713.0,26.0,763.0,26.0,789.0,431.0,,25.0,25.0,26.0,83.0,25.0,,25.0,25.0,26.0,99.0,,25.0,26.0,773.0,,26.0,25.0,512.0
763.0,325.0,713.0,512.0,398.0,552.0,,26.0,26.0,512.0,489.0,26.0,,26.0,26.0,325.0,122.0,,26.0,512.0,736.0,,325.0,26.0,665.0
376.0,512.0,126.0,325.0,501.0,536.0,,325.0,325.0,325.0,279.0,325.0,,560.0,512.0,320.0,117.0,,512.0,325.0,772.0,,665.0,325.0,325.0
639.0,560.0,83.0,647.0,533.0,533.0,,594.0,39.0,286.0,431.0,73.0,,39.0,325.0,512.0,355.0,,325.0,665.0,737.0,,428.0,512.0,655.0
552.0,287.0,489.0,594.0,641.0,188.0,,39.0,327.0,560.0,467.0,286.0,,325.0,514.0,287.0,344.0,,99.0,286.0,654.0,,39.0,286.0,647.0
377.0,286.0,641.0,286.0,,729.0,,665.0,685.0,442.0,699.0,560.0,,287.0,286.0,456.0,761.0,,39.0,594.0,681.0,,594.0,560.0,476.0
536.0,39.0,,99.0,,670.0,,286.0,665.0,429.0,23.0,103.0,,73.0,647.0,39.0,576.0,,597.0,638.0,760.0,,647.0,39.0,287.0
641.0,442.0,,514.0,,771.0,,320.0,175.0,99.0,188.0,147.0,,52.0,320.0,638.0,746.0,,442.0,103.0,747.0,,541.0,775.0,99.0
,320.0,,638.0,,773.0,,211.0,442.0,147.0,639.0,685.0,,685.0,554.0,655.0,40.0,,286.0,66.0,789.0,,99.0,665.0,442.0
,466.0,,442.0,,693.0,,512.0,638.0,638.0,519.0,442.0,,50.0,287.0,277.0,210.0,,320.0,442.0,672.0,,442.0,638.0,327.0
,668.0,,597.0,,323.0,,638.0,560.0,534.0,195.0,512.0,,541.0,610.0,295.0,332.0,,277.0,541.0,379.0,,638.0,672.0,39.0
,665.0,,380.0,,555.0,,147.0,594.0,665.0,751.0,541.0,,634.0,50.0,442.0,78.0,,514.0,327.0,641.0,,157.0,442.0,605.0
,52.0,,122.0,,641.0,,655.0,286.0,695.0,736.0,665.0,,512.0,609.0,665.0,138.0,,560.0,647.0,,,170.0,147.0,638.0
,647.0,,554.0,,,,66.0,463.0,594.0,737.0,695.0,,674.0,327.0,286.0,174.0,,50.0,634.0,,,122.0,380.0,122.0
,554.0,,426.0,,,,442.0,512.0,96.0,654.0,483.0,,638.0,146.0,327.0,786.0,,638.0,99.0,,,175.0,381.0,429.0
,605.0,,429.0,,,,99.0,328.0,610.0,681.0,638.0,,775.0,442.0,99.0,535.0,,287.0,610.0,,,554.0,318.0,286.0
,380.0,,39.0,,,,634.0,277.0,55.0,747.0,475.0,,211.0,665.0,560.0,10.0,,147.0,685.0,,,685.0,760.0,50.0
,422.0,,141.0,,,,282.0,99.0,554.0,789.0,213.0,,199.0,380.0,594.0,397.0,,122.0,122.0,,,422.0,260.0,594.0
,550.0,,547.0,,,,429.0,66.0,219.0,760.0,39.0,,286.0,429.0,31.0,422.0,,146.0,170.0,,,550.0,736.0,685.0
