run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
759.0,111.0,730.0,1547.0,531.0,1522.0,889.0,767.0,1444.0,1498.0,1204.0,860.0,1420.0,1438.0,386.0,1140.0,742.0,425.0,1330.0,310.0,1522.0,957.0,557.0,268.0,862.0
164.0,571.0,1120.0,1630.0,394.0,1062.0,1656.0,359.0,394.0,1556.0,1658.0,1362.0,1633.0,491.0,1630.0,571.0,394.0,1120.0,1508.0,1655.0,1632.0,359.0,164.0,490.0,1618.0
353.0,497.0,1582.0,353.0,300.0,1610.0,822.0,852.0,853.0,300.0,709.0,856.0,437.0,735.0,570.0,423.0,300.0,437.0,423.0,1231.0,709.0,1022.0,1081.0,1231.0,756.0
1245.0,1266.0,433.0,1268.0,456.0,965.0,585.0,427.0,755.0,207.0,1601.0,1340.0,1264.0,1127.0,1641.0,840.0,702.0,1587.0,972.0,184.0,1083.0,958.0,450.0,283.0,801.0
1228.0,1276.0,131.0,926.0,326.0,724.0,24.0,1299.0,1212.0,329.0,744.0,1021.0,1482.0,1510.0,1553.0,977.0,1003.0,1474.0,1123.0,1004.0,1338.0,600.0,896.0,1439.0,765.0
1643.0,56.0,1647.0,232.0,1643.0,335.0,233.0,494.0,1659.0,1644.0,1208.0,68.0,53.0,921.0,1642.0,68.0,1654.0,1653.0,53.0,53.0,70.0,232.0,333.0,331.0,1623.0
443.0,659.0,704.0,1302.0,1461.0,443.0,512.0,1233.0,1461.0,1583.0,825.0,704.0,314.0,1310.0,1267.0,498.0,704.0,740.0,411.0,740.0,714.0,411.0,1461.0,887.0,659.0
138.0,1274.0,538.0,1428.0,657.0,67.0,1545.0,639.0,626.0,964.0,1356.0,147.0,543.0,1548.0,1349.0,626.0,929.0,169.0,1335.0,1394.0,538.0,800.0,644.0,218.0,23.0
544.0,1538.0,1080.0,1611.0,720.0,1262.0,459.0,1625.0,748.0,974.0,1294.0,1126.0,399.0,1504.0,1611.0,1450.0,795.0,827.0,1585.0,1585.0,399.0,779.0,510.0,971.0,909.0
838.0,695.0,62.0,1364.0,573.0,1491.0,1494.0,221.0,1652.0,1494.0,65.0,882.0,460.0,1626.0,597.0,1627.0,262.0,373.0,814.0,952.0,695.0,1119.0,1584.0,1454.0,1240.0
1209.0,1209.0,1654.0,484.0,1209.0,1364.0,1362.0,883.0,1654.0,1635.0,1659.0,1654.0,246.0,389.0,55.0,53.0,1264.0,93.0,250.0,1648.0,490.0,484.0,271.0,736.0,1630.0
