run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1295.0,1262.0,945.0,386.0,163.0,592.0,910.0,546.0,589.0,777.0,633.0,515.0,170.0,681.0,672.0,1108.0,943.0,1062.0,314.0,966.0,121.0,574.0,420.0,25.0,1288.0
406.0,571.0,1181.0,516.0,92.0,564.0,514.0,964.0,836.0,148.0,1192.0,662.0,247.0,723.0,705.0,1218.0,61.0,293.0,656.0,1219.0,643.0,806.0,910.0,1082.0,1272.0
1062.0,65.0,707.0,239.0,139.0,664.0,14.0,509.0,557.0,852.0,789.0,123.0,616.0,474.0,1205.0,595.0,1161.0,169.0,1203.0,307.0,1312.0,71.0,379.0,1312.0,792.0
202.0,115.0,1058.0,1027.0,961.0,742.0,263.0,1322.0,379.0,57.0,922.0,604.0,356.0,1156.0,584.0,1307.0,1093.0,590.0,655.0,60.0,1240.0,376.0,690.0,359.0,61.0
1192.0,1176.0,909.0,962.0,1204.0,625.0,1184.0,571.0,606.0,822.0,212.0,757.0,484.0,955.0,1130.0,926.0,291.0,104.0,1178.0,624.0,1076.0,1013.0,1035.0,571.0,332.0
186.0,446.0,556.0,820.0,1101.0,286.0,720.0,51.0,495.0,450.0,1109.0,632.0,1311.0,950.0,726.0,211.0,81.0,602.0,463.0,1132.0,730.0,803.0,607.0,1096.0,515.0
45.0,641.0,1031.0,160.0,871.0,720.0,1259.0,478.0,812.0,506.0,939.0,925.0,996.0,1181.0,1226.0,8.0,1181.0,742.0,14.0,18.0,506.0,232.0,706.0,422.0,915.0
487.0,852.0,677.0,1098.0,829.0,1291.0,1011.0,467.0,1164.0,679.0,450.0,1245.0,846.0,662.0,1120.0,504.0,294.0,692.0,281.0,1006.0,727.0,1274.0,1196.0,1200.0,1161.0
1193.0,903.0,1166.0,954.0,1234.0,492.0,256.0,1253.0,818.0,259.0,273.0,365.0,894.0,1149.0,812.0,870.0,1301.0,326.0,272.0,573.0,414.0,632.0,104.0,535.0,965.0
1178.0,857.0,532.0,588.0,13.0,166.0,512.0,522.0,540.0,702.0,756.0,128.0,667.0,293.0,959.0,1322.0,93.0,548.0,337.0,80.0,214.0,903.0,1141.0,1078.0,90.0
312.0,190.0,1231.0,1317.0,330.0,190.0,1199.0,34.0,190.0,190.0,190.0,75.0,190.0,144.0,190.0,190.0,613.0,1297.0,190.0,190.0,190.0,190.0,759.0,190.0,190.0
1293.0,50.0,1028.0,1256.0,478.0,1317.0,875.0,658.0,759.0,1310.0,784.0,1086.0,1317.0,907.0,792.0,792.0,1300.0,1277.0,307.0,,1048.0,1221.0,599.0,1268.0,381.0
1300.0,812.0,190.0,1031.0,34.0,427.0,429.0,88.0,73.0,1227.0,511.0,143.0,352.0,190.0,595.0,812.0,761.0,1152.0,,,873.0,145.0,761.0,47.0,1302.0
