run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
253.0,530.0,690.0,665.0,404.0,322.0,899.0,651.0,210.0,779.0,342.0,906.0,176.0,291.0,449.0,901.0,244.0,711.0,970.0,632.0,951.0,771.0,522.0,569.0,316.0
75.0,453.0,66.0,73.0,1038.0,988.0,568.0,34.0,433.0,822.0,11.0,77.0,13.0,896.0,472.0,933.0,504.0,210.0,296.0,519.0,551.0,481.0,400.0,829.0,428.0
680.0,925.0,397.0,407.0,671.0,228.0,658.0,54.0,477.0,589.0,284.0,588.0,536.0,287.0,1025.0,903.0,245.0,847.0,309.0,451.0,147.0,620.0,870.0,334.0,454.0
240.0,521.0,543.0,190.0,848.0,236.0,80.0,657.0,332.0,765.0,467.0,387.0,696.0,329.0,505.0,126.0,131.0,921.0,38.0,517.0,306.0,756.0,783.0,207.0,722.0
331.0,839.0,250.0,934.0,112.0,121.0,687.0,853.0,9.0,281.0,558.0,918.0,1012.0,380.0,666.0,103.0,50.0,786.0,705.0,857.0,1023.0,278.0,333.0,1027.0,669.0
279.0,581.0,878.0,128.0,161.0,426.0,1036.0,750.0,593.0,514.0,326.0,528.0,782.0,841.0,1055.0,238.0,181.0,18.0,741.0,574.0,365.0,293.0,204.0,457.0,292.0
320.0,940.0,333.0,913.0,904.0,106.0,842.0,399.0,1045.0,569.0,956.0,237.0,566.0,297.0,788.0,849.0,161.0,650.0,751.0,661.0,970.0,504.0,697.0,401.0,515.0
974.0,936.0,889.0,57.0,858.0,817.0,694.0,297.0,804.0,351.0,519.0,557.0,161.0,484.0,737.0,479.0,589.0,350.0,23.0,828.0,830.0,898.0,67.0,722.0,373.0
983.0,560.0,68.0,119.0,490.0,1026.0,179.0,611.0,1023.0,563.0,805.0,143.0,398.0,195.0,580.0,985.0,286.0,907.0,262.0,624.0,605.0,427.0,363.0,924.0,288.0
294.0,94.0,285.0,935.0,347.0,911.0,223.0,487.0,876.0,904.0,230.0,828.0,722.0,442.0,115.0,338.0,511.0,449.0,212.0,153.0,1014.0,44.0,845.0,863.0,532.0
459.0,370.0,325.0,293.0,776.0,891.0,292.0,340.0,726.0,137.0,44.0,687.0,562.0,978.0,656.0,802.0,43.0,656.0,156.0,1004.0,324.0,467.0,607.0,324.0,450.0
938.0,209.0,401.0,503.0,99.0,556.0,588.0,219.0,476.0,584.0,641.0,292.0,746.0,556.0,340.0,801.0,121.0,340.0,,43.0,401.0,641.0,16.0,325.0,130.0
156.0,156.0,324.0,442.0,128.0,447.0,556.0,434.0,117.0,43.0,104.0,556.0,199.0,314.0,34.0,43.0,346.0,34.0,,346.0,889.0,104.0,100.0,889.0,401.0
,,1023.0,294.0,915.0,291.0,1008.0,449.0,979.0,587.0,583.0,1008.0,650.0,641.0,219.0,346.0,451.0,219.0,,587.0,917.0,583.0,653.0,1023.0,324.0
,,917.0,814.0,755.0,837.0,291.0,656.0,939.0,346.0,43.0,291.0,612.0,887.0,434.0,587.0,587.0,434.0,,403.0,325.0,43.0,0.0,917.0,325.0
,,460.0,295.0,98.0,373.0,640.0,548.0,119.0,403.0,346.0,640.0,30.0,106.0,548.0,403.0,403.0,548.0,,137.0,68.0,346.0,145.0,68.0,889.0
,,808.0,1008.0,654.0,43.0,932.0,496.0,124.0,464.0,314.0,932.0,248.0,891.0,496.0,137.0,137.0,496.0,,464.0,460.0,314.0,251.0,460.0,1023.0
,,470.0,438.0,714.0,346.0,43.0,941.0,308.0,1004.0,978.0,43.0,173.0,447.0,941.0,464.0,464.0,941.0,,584.0,808.0,978.0,427.0,808.0,917.0
,,954.0,455.0,936.0,292.0,641.0,169.0,103.0,36.0,654.0,641.0,563.0,837.0,169.0,1004.0,1004.0,169.0,,36.0,470.0,654.0,553.0,470.0,68.0
,,26.0,803.0,324.0,587.0,436.0,252.0,551.0,837.0,121.0,436.0,708.0,373.0,252.0,584.0,584.0,252.0,,837.0,954.0,121.0,38.0,954.0,460.0
,,1009.0,404.0,450.0,403.0,404.0,916.0,693.0,447.0,448.0,404.0,82.0,43.0,916.0,36.0,36.0,916.0,,447.0,26.0,448.0,609.0,26.0,808.0
,,936.0,639.0,156.0,137.0,346.0,316.0,69.0,891.0,835.0,346.0,258.0,346.0,316.0,837.0,837.0,316.0,,891.0,1009.0,835.0,202.0,1009.0,470.0
,,156.0,326.0,,464.0,121.0,517.0,501.0,654.0,1003.0,121.0,428.0,292.0,517.0,447.0,447.0,517.0,,654.0,936.0,1003.0,560.0,936.0,954.0
,,,813.0,,1004.0,587.0,357.0,701.0,238.0,217.0,587.0,704.0,587.0,357.0,891.0,891.0,357.0,,238.0,156.0,217.0,243.0,156.0,26.0
,,,654.0,,654.0,403.0,576.0,781.0,451.0,887.0,403.0,198.0,403.0,576.0,654.0,654.0,576.0,,802.0,,887.0,150.0,,1009.0
,,,314.0,,451.0,137.0,771.0,863.0,624.0,451.0,137.0,700.0,137.0,771.0,451.0,238.0,771.0,,106.0,,451.0,498.0,,936.0
,,,945.0,,624.0,464.0,654.0,226.0,802.0,587.0,464.0,610.0,464.0,654.0,624.0,624.0,654.0,,803.0,,587.0,680.0,,156.0
,,,888.0,,238.0,1004.0,400.0,757.0,106.0,624.0,1004.0,28.0,1004.0,400.0,106.0,802.0,400.0,,1008.0,,624.0,315.0,,
,,,381.0,,584.0,584.0,777.0,969.0,803.0,640.0,584.0,11.0,654.0,777.0,803.0,106.0,777.0,,779.0,,640.0,37.0,,
,,,36.0,,807.0,36.0,43.0,155.0,1008.0,836.0,36.0,19.0,451.0,43.0,1008.0,803.0,43.0,,908.0,,836.0,1055.0,,
,,,43.0,,221.0,837.0,346.0,320.0,908.0,462.0,837.0,497.0,624.0,346.0,779.0,1008.0,346.0,,581.0,,462.0,657.0,,
,,,346.0,,787.0,447.0,803.0,920.0,581.0,137.0,447.0,615.0,238.0,803.0,908.0,779.0,803.0,,640.0,,137.0,149.0,,
,,,588.0,,132.0,891.0,313.0,1005.0,640.0,238.0,891.0,561.0,584.0,313.0,581.0,908.0,313.0,,836.0,,238.0,661.0,,
,,,687.0,,225.0,654.0,471.0,25.0,836.0,447.0,654.0,526.0,807.0,471.0,640.0,581.0,471.0,,1001.0,,447.0,589.0,,
,,,436.0,,36.0,238.0,934.0,110.0,1001.0,464.0,238.0,244.0,221.0,934.0,836.0,640.0,934.0,,801.0,,464.0,354.0,,
,,,1021.0,,1008.0,451.0,636.0,748.0,801.0,1004.0,451.0,611.0,121.0,636.0,1001.0,836.0,636.0,,639.0,,1004.0,660.0,,
,,,640.0,,435.0,624.0,639.0,478.0,639.0,131.0,624.0,175.0,787.0,639.0,639.0,1001.0,639.0,,35.0,,131.0,147.0,,
,,,556.0,,640.0,802.0,451.0,374.0,35.0,803.0,802.0,483.0,132.0,451.0,35.0,801.0,451.0,,44.0,,803.0,249.0,,
,,,932.0,,802.0,106.0,587.0,491.0,44.0,291.0,106.0,567.0,225.0,587.0,44.0,639.0,587.0,,467.0,,291.0,206.0,,
,,,641.0,,836.0,803.0,624.0,153.0,467.0,36.0,803.0,745.0,36.0,624.0,467.0,35.0,624.0,,641.0,,36.0,205.0,,
,,,121.0,,437.0,779.0,583.0,407.0,641.0,837.0,779.0,58.0,1008.0,583.0,641.0,44.0,583.0,,104.0,,837.0,112.0,,
,,,587.0,,803.0,908.0,203.0,386.0,104.0,1008.0,908.0,250.0,435.0,203.0,104.0,467.0,203.0,,583.0,,1008.0,146.0,,
,,,403.0,,585.0,581.0,137.0,636.0,583.0,403.0,581.0,302.0,640.0,137.0,583.0,641.0,137.0,,314.0,,403.0,1030.0,,
,,,137.0,,436.0,836.0,238.0,531.0,314.0,802.0,836.0,92.0,802.0,238.0,314.0,104.0,238.0,,978.0,,802.0,621.0,,
,,,464.0,,326.0,1001.0,326.0,713.0,978.0,465.0,1001.0,91.0,836.0,326.0,978.0,583.0,326.0,,121.0,,465.0,426.0,,
,,,1004.0,,131.0,801.0,447.0,852.0,121.0,639.0,801.0,174.0,437.0,447.0,121.0,314.0,447.0,,448.0,,639.0,658.0,,
,,,584.0,,801.0,639.0,464.0,848.0,448.0,35.0,639.0,95.0,803.0,464.0,448.0,978.0,464.0,,835.0,,35.0,194.0,,
,,,837.0,,639.0,35.0,1004.0,393.0,835.0,584.0,35.0,39.0,585.0,1004.0,835.0,448.0,1004.0,,1003.0,,584.0,675.0,,
,,,447.0,,35.0,44.0,584.0,457.0,1003.0,807.0,44.0,590.0,436.0,584.0,1003.0,835.0,584.0,,217.0,,807.0,809.0,,
,,,891.0,,44.0,467.0,439.0,446.0,217.0,981.0,467.0,48.0,326.0,439.0,217.0,1003.0,439.0,,887.0,,981.0,56.0,,
,,,238.0,,467.0,104.0,990.0,740.0,887.0,218.0,104.0,655.0,131.0,990.0,887.0,217.0,990.0,,462.0,,218.0,603.0,,
,,,451.0,,641.0,583.0,36.0,773.0,462.0,989.0,583.0,679.0,801.0,36.0,462.0,887.0,36.0,,131.0,,989.0,723.0,,
,,,624.0,,104.0,314.0,322.0,790.0,131.0,932.0,314.0,703.0,639.0,322.0,131.0,462.0,322.0,,291.0,,932.0,125.0,,
,,,802.0,,583.0,978.0,837.0,926.0,291.0,132.0,978.0,233.0,35.0,837.0,291.0,291.0,837.0,,465.0,,132.0,398.0,,
,,,106.0,,314.0,448.0,1008.0,409.0,465.0,343.0,448.0,595.0,44.0,1008.0,465.0,465.0,1008.0,,807.0,,343.0,345.0,,
,,,779.0,,978.0,835.0,472.0,529.0,807.0,435.0,835.0,608.0,467.0,403.0,807.0,807.0,472.0,,981.0,,435.0,8.0,,
,,,908.0,,448.0,1003.0,403.0,739.0,981.0,436.0,1003.0,12.0,104.0,550.0,981.0,981.0,403.0,,218.0,,436.0,9.0,,
,,,581.0,,835.0,217.0,550.0,252.0,218.0,779.0,217.0,235.0,583.0,581.0,218.0,218.0,550.0,,989.0,,779.0,111.0,,
,,,836.0,,1003.0,887.0,581.0,833.0,989.0,908.0,887.0,33.0,448.0,640.0,989.0,989.0,581.0,,932.0,,908.0,597.0,,
,,,1001.0,,217.0,462.0,640.0,306.0,932.0,26.0,462.0,525.0,835.0,802.0,932.0,932.0,640.0,,132.0,,26.0,86.0,,
,,,801.0,,887.0,131.0,802.0,324.0,132.0,581.0,131.0,649.0,1003.0,836.0,132.0,132.0,802.0,,343.0,,581.0,245.0,,
,,,35.0,,462.0,465.0,836.0,1054.0,343.0,437.0,465.0,652.0,217.0,748.0,343.0,343.0,836.0,,435.0,,437.0,396.0,,
