run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
744.0,339.0,267.0,232.0,585.0,726.0,350.0,361.0,782.0,872.0,223.0,796.0,456.0,944.0,415.0,894.0,844.0,284.0,515.0,720.0,477.0,383.0,414.0,270.0,609.0
728.0,248.0,1013.0,360.0,813.0,525.0,581.0,294.0,784.0,846.0,177.0,871.0,929.0,286.0,943.0,194.0,30.0,685.0,599.0,790.0,320.0,764.0,246.0,463.0,753.0
927.0,663.0,728.0,180.0,837.0,445.0,997.0,134.0,300.0,39.0,339.0,629.0,506.0,204.0,932.0,719.0,975.0,1019.0,308.0,445.0,522.0,126.0,134.0,660.0,922.0
914.0,310.0,645.0,1010.0,787.0,587.0,992.0,962.0,893.0,563.0,567.0,104.0,920.0,291.0,917.0,489.0,653.0,392.0,38.0,921.0,528.0,499.0,689.0,206.0,513.0
496.0,85.0,812.0,301.0,112.0,731.0,592.0,164.0,409.0,784.0,582.0,658.0,425.0,882.0,1023.0,525.0,319.0,428.0,455.0,1027.0,925.0,765.0,913.0,213.0,636.0
27.0,1004.0,944.0,833.0,244.0,894.0,725.0,228.0,768.0,271.0,835.0,954.0,578.0,304.0,411.0,206.0,327.0,362.0,858.0,451.0,633.0,958.0,734.0,454.0,732.0
31.0,1038.0,946.0,27.0,358.0,437.0,915.0,970.0,898.0,330.0,285.0,183.0,274.0,296.0,524.0,526.0,904.0,190.0,622.0,262.0,514.0,438.0,119.0,399.0,264.0
553.0,592.0,763.0,416.0,1045.0,839.0,860.0,669.0,871.0,139.0,592.0,667.0,789.0,819.0,442.0,142.0,1027.0,880.0,23.0,821.0,428.0,648.0,363.0,158.0,307.0
683.0,329.0,1036.0,328.0,472.0,480.0,864.0,54.0,9.0,368.0,664.0,255.0,1019.0,541.0,80.0,926.0,315.0,769.0,262.0,539.0,337.0,346.0,880.0,866.0,536.0
495.0,1036.0,143.0,509.0,835.0,219.0,938.0,471.0,825.0,795.0,64.0,655.0,965.0,633.0,210.0,126.0,817.0,961.0,212.0,883.0,62.0,44.0,821.0,837.0,422.0
982.0,220.0,221.0,1002.0,751.0,96.0,514.0,557.0,522.0,96.0,621.0,823.0,378.0,810.0,469.0,517.0,754.0,927.0,633.0,751.0,981.0,451.0,465.0,1004.0,751.0
220.0,994.0,979.0,977.0,378.0,621.0,982.0,927.0,597.0,751.0,927.0,445.0,979.0,909.0,751.0,96.0,621.0,446.0,767.0,96.0,801.0,457.0,434.0,982.0,550.0
513.0,1002.0,457.0,994.0,911.0,754.0,220.0,218.0,38.0,514.0,514.0,96.0,934.0,941.0,96.0,751.0,216.0,218.0,704.0,463.0,96.0,579.0,96.0,312.0,797.0
556.0,96.0,621.0,798.0,683.0,783.0,453.0,129.0,185.0,774.0,754.0,554.0,772.0,501.0,774.0,556.0,96.0,500.0,494.0,774.0,378.0,934.0,928.0,446.0,208.0
985.0,774.0,772.0,287.0,96.0,927.0,517.0,907.0,32.0,981.0,433.0,751.0,369.0,206.0,911.0,403.0,167.0,557.0,587.0,514.0,911.0,378.0,400.0,981.0,807.0
981.0,550.0,799.0,341.0,621.0,682.0,403.0,783.0,521.0,797.0,517.0,621.0,96.0,440.0,797.0,981.0,981.0,294.0,314.0,754.0,754.0,907.0,43.0,906.0,96.0
994.0,226.0,368.0,96.0,754.0,129.0,96.0,994.0,161.0,287.0,96.0,324.0,457.0,96.0,621.0,982.0,887.0,913.0,693.0,341.0,751.0,96.0,883.0,754.0,1002.0
554.0,797.0,287.0,550.0,290.0,216.0,556.0,682.0,483.0,754.0,783.0,927.0,907.0,809.0,378.0,801.0,215.0,399.0,912.0,797.0,517.0,979.0,993.0,400.0,774.0
463.0,208.0,776.0,774.0,514.0,797.0,981.0,207.0,48.0,35.0,994.0,833.0,380.0,453.0,754.0,754.0,801.0,96.0,398.0,994.0,403.0,208.0,460.0,96.0,994.0
1002.0,287.0,236.0,807.0,517.0,104.0,754.0,369.0,184.0,982.0,682.0,289.0,1049.0,981.0,514.0,514.0,580.0,928.0,524.0,1002.0,982.0,369.0,927.0,1003.0,324.0
514.0,882.0,98.0,548.0,433.0,751.0,906.0,208.0,595.0,433.0,797.0,1002.0,984.0,403.0,401.0,803.0,751.0,1005.0,782.0,26.0,554.0,835.0,500.0,557.0,287.0
96.0,35.0,934.0,621.0,401.0,887.0,400.0,1002.0,619.0,556.0,35.0,135.0,446.0,801.0,991.0,132.0,974.0,312.0,522.0,465.0,992.0,547.0,804.0,132.0,221.0
403.0,402.0,451.0,78.0,582.0,833.0,637.0,96.0,160.0,206.0,129.0,401.0,294.0,982.0,370.0,465.0,445.0,452.0,597.0,434.0,927.0,976.0,458.0,927.0,547.0
751.0,976.0,797.0,516.0,802.0,774.0,927.0,550.0,186.0,226.0,287.0,994.0,368.0,517.0,236.0,130.0,833.0,883.0,564.0,43.0,556.0,368.0,102.0,500.0,976.0
305.0,400.0,798.0,461.0,581.0,981.0,553.0,807.0,482.0,403.0,1004.0,775.0,135.0,556.0,216.0,797.0,465.0,783.0,661.0,1005.0,370.0,772.0,1005.0,1019.0,463.0
434.0,554.0,579.0,445.0,1000.0,982.0,1003.0,400.0,596.0,132.0,236.0,449.0,452.0,514.0,135.0,927.0,556.0,682.0,186.0,833.0,453.0,448.0,950.0,403.0,578.0
517.0,908.0,35.0,449.0,462.0,803.0,554.0,774.0,89.0,451.0,400.0,581.0,804.0,754.0,798.0,434.0,999.0,1004.0,184.0,380.0,1003.0,131.0,468.0,913.0,341.0
801.0,219.0,668.0,324.0,135.0,434.0,206.0,982.0,83.0,582.0,434.0,344.0,399.0,800.0,992.0,463.0,104.0,400.0,39.0,130.0,803.0,512.0,26.0,218.0,433.0
637.0,433.0,547.0,35.0,798.0,463.0,434.0,451.0,523.0,453.0,928.0,42.0,913.0,585.0,517.0,460.0,993.0,885.0,646.0,104.0,906.0,240.0,130.0,800.0,469.0
206.0,547.0,341.0,980.0,35.0,1002.0,104.0,928.0,564.0,811.0,135.0,465.0,236.0,375.0,130.0,1003.0,982.0,465.0,563.0,993.0,400.0,128.0,984.0,682.0,35.0
682.0,582.0,103.0,754.0,554.0,993.0,887.0,132.0,162.0,835.0,556.0,216.0,119.0,928.0,400.0,458.0,434.0,434.0,523.0,460.0,1004.0,811.0,682.0,119.0,220.0
999.0,500.0,442.0,547.0,772.0,130.0,797.0,981.0,234.0,772.0,803.0,460.0,468.0,465.0,775.0,993.0,460.0,129.0,327.0,371.0,434.0,1038.0,803.0,294.0,582.0
888.0,792.0,154.0,368.0,637.0,400.0,928.0,500.0,248.0,801.0,798.0,43.0,312.0,638.0,882.0,43.0,403.0,130.0,198.0,950.0,928.0,1049.0,621.0,129.0,835.0
129.0,927.0,651.0,433.0,220.0,223.0,130.0,403.0,695.0,380.0,1002.0,803.0,928.0,797.0,934.0,467.0,43.0,102.0,183.0,516.0,130.0,132.0,1004.0,803.0,461.0
832.0,434.0,469.0,751.0,215.0,556.0,751.0,514.0,676.0,221.0,581.0,400.0,906.0,460.0,563.0,883.0,883.0,119.0,204.0,887.0,465.0,583.0,797.0,783.0,246.0
1003.0,835.0,710.0,797.0,981.0,465.0,305.0,811.0,198.0,1003.0,341.0,434.0,668.0,1003.0,908.0,102.0,220.0,468.0,170.0,220.0,682.0,932.0,312.0,928.0,801.0
400.0,557.0,456.0,378.0,580.0,119.0,985.0,556.0,47.0,798.0,130.0,130.0,1004.0,130.0,581.0,906.0,803.0,43.0,695.0,928.0,993.0,889.0,982.0,556.0,376.0
